LocationID,borough,longitude,latitude
1,EWR,-74.17153349999995,40.68948349999988
2,Queens,-73.82247803552738,40.61082353463821
3,Bronx,-73.84495310749989,40.86574730099992
4,Manhattan,-73.97772542292921,40.72413692699997
5,Staten Island,-74.18755828249991,40.55066406499992
6,Staten Island,-74.07256563877093,40.599042762217536
7,Queens,-73.92030746749995,40.76108286549989
8,Queens,-73.92312156108176,40.77862509038407
9,Queens,-73.78651680849993,40.75434276799987
10,Queens,-73.78898557749989,40.67825618399989
11,Brooklyn,-74.00751040830949,40.60401449106882
12,Manhattan,-74.01572589184049,40.7024970629341
13,Manhattan,-74.01589181962237,40.71153468920308
14,Brooklyn,-74.0285213693821,40.62359275570356
15,Queens,-73.78527445765596,40.784888059041
16,Queens,-73.77471369291123,40.76121553799992
17,Brooklyn,-73.95068947349995,40.69177696199986
18,Bronx,-73.8912742834999,40.86867793799988
19,Queens,-73.72861067890516,40.73673660794557
20,Bronx,-73.88619042849992,40.85773933999991
21,Brooklyn,-73.9858580212229,40.601994973510216
22,Brooklyn,-73.9950711269999,40.60968152803109
23,Staten Island,-74.16044164396826,40.60745009891912
24,Manhattan,-73.96552238095356,40.801915687294766
25,Brooklyn,-73.98647201599982,40.685719242499886
26,Brooklyn,-73.99012981799996,40.62860035949991
27,Queens,-73.90170527256132,40.558939924102425
28,Queens,-73.80832597049987,40.71074081599989
29,Brooklyn,-73.96062421335655,40.58251411936592
30,Queens,-73.82479984955917,40.60490930856771
31,Bronx,-73.8761049054999,40.86001570749994
32,Bronx,-73.86386018649993,40.86438838349992
33,Brooklyn,-73.99602169307266,40.696256942465965
34,Brooklyn,-73.97231938410377,40.70250752257604
35,Brooklyn,-73.91259334499993,40.66380131049988
36,Brooklyn,-73.9175758074999,40.69897118749988
37,Brooklyn,-73.92042706849989,40.69629654699987
38,Queens,-73.73676400060572,40.6933613634869
39,Brooklyn,-73.89854748942136,40.63886089269232
40,Brooklyn,-73.99525822599992,40.67854205949989
41,Manhattan,-73.95070912799989,40.80417635649991
42,Manhattan,-73.94296557610663,40.82096513630884
43,Manhattan,-73.96543425149989,40.782430709999886
44,Staten Island,-74.23064370757598,40.52731570058511
45,Manhattan,-73.99883418899992,40.7129822358378
46,Bronx,-73.77942003413594,40.84748730595592
47,Bronx,-73.90038283149991,40.84531677249989
48,Manhattan,-73.98983608299997,40.76224880249993
49,Brooklyn,-73.96170670799992,40.688764614999855
50,Manhattan,-73.99591012309416,40.766568455471045
51,Bronx,-73.82951438949993,40.87343570699991
52,Brooklyn,-73.99650552499989,40.68645906149993
53,Queens,-73.84718616016454,40.78198428688525
54,Brooklyn,-74.00497260507314,40.68685015153732
55,Brooklyn,-73.98621165112738,40.57708729324328
56,Queens,-73.85770892099987,40.7415672414999
56,Queens,-73.85334967649996,40.75198053449988
56,Queens,-73.85770892099987,40.7415672414999
56,Queens,-73.85334967649996,40.75198053449988
58,Bronx,-73.8189705241183,40.84149471389722
59,Bronx,-73.8939116864999,40.83893493049991
60,Bronx,-73.88497212849981,40.83133578699989
61,Brooklyn,-73.94241452649987,40.67396594649989
62,Brooklyn,-73.94563594699994,40.66727954149988
63,Brooklyn,-73.88255467399989,40.684691341499885
64,Queens,-73.73636758993015,40.76066709841692
65,Brooklyn,-73.98530032749991,40.6953503109999
66,Brooklyn,-73.98724996985288,40.70170322259689
67,Brooklyn,-74.01239182199993,40.61841493099995
68,Manhattan,-73.99991836599992,40.748431575499886
69,Bronx,-73.9161658404999,40.8306075284999
70,Queens,-73.86544192849993,40.764200896999895
71,Brooklyn,-73.93707866399994,40.64418769399992
72,Brooklyn,-73.92023267199991,40.6526549989999
73,Queens,-73.80771327899997,40.75377780049989
74,Manhattan,-73.93741040191823,40.80561276899988
75,Manhattan,-73.94541517951377,40.79047907499989
76,Brooklyn,-73.8825665379999,40.65881960439933
77,Brooklyn,-73.89266489799995,40.66714987599991
78,Bronx,-73.88201852999993,40.846066419999936
79,Manhattan,-73.9853151009999,40.72795383099989
80,Brooklyn,-73.93711495949984,40.71444994600776
81,Bronx,-73.82332145712245,40.87740838365212
82,Queens,-73.8781106749999,40.73847492449989
83,Queens,-73.89388576349998,40.74015635699988
84,Staten Island,-74.19044206599993,40.53201068061041
85,Brooklyn,-73.95220698049987,40.64700806699992
86,Queens,-73.75590432034737,40.60258223614865
87,Manhattan,-74.00723894418903,40.70665878589847
88,Manhattan,-74.01101059702111,40.70327948694256
89,Brooklyn,-73.96066023649988,40.640805569499896
90,Manhattan,-73.9969712004999,40.74228299549992
91,Brooklyn,-73.93211487449992,40.62794747349989
92,Queens,-73.82741565411524,40.76434818299985
93,Queens,-73.8391781609999,40.739205576931504
94,Bronx,-73.89836006749992,40.85833167899992
95,Queens,-73.8459172519998,40.72270292049992
96,Queens,-73.86938352499988,40.69577993899989
97,Brooklyn,-73.9761970479999,40.69012588499987
98,Queens,-73.77660400199986,40.7340612809999
99,Staten Island,-74.188371344601,40.57942182349992
100,Manhattan,-73.98879086249991,40.75351008049991
101,Queens,-73.7144857899677,40.7435324090614
102,Queens,-73.8762752915,40.70266458399989
103,Manhattan,-74.04514167358582,40.689819412109
103,Manhattan,-74.04069248006846,40.69867180082058
103,Manhattan,-74.01918926085249,40.6881351788492
103,Manhattan,-74.04514167358582,40.689819412109
103,Manhattan,-74.04069248006846,40.69867180082058
103,Manhattan,-74.01918926085249,40.6881351788492
103,Manhattan,-74.04514167358582,40.689819412109
103,Manhattan,-74.04069248006846,40.69867180082058
103,Manhattan,-74.01918926085249,40.6881351788492
